0A1 | 770A46D3 | E8 18DB0300              | call ucrtbase.770E21F0                  | esp: 19FE7C-> 19FE78                              | 0019FE78: 7717CA00-> 770A46D8     |
0A2 | 770E21F0 | 68 D01F0E77              | push ucrtbase.770E1FD0                  | esp: 19FE78-> 19FE74                              | 0019FE74: 770A46D8-> 770E1FD0     |
0A3 | 770E21F5 | 64:FF35 00000000         | push dword ptr fs:[0]                   | esp: 19FE74-> 19FE70                              | 00266000: 19FF60-> 19FF60 0019FE7 |
0A4 | 770E21FC | 8B4424 10                | mov eax,dword ptr ss:[esp+10]           | eax: 19FEB4-> C                                   | 0019FE80: C-> C                   |
0A5 | 770E2200 | 896C24 10                | mov dword ptr ss:[esp+10],ebp           |                                                   | 0019FE80: C-> 19FEC4              |
0A6 | 770E2204 | 8D6C24 10                | lea ebp,dword ptr ss:[esp+10]           | ebp: 19FEC4-> 19FE80                              |                                   |
0A7 | 770E2208 | 2BE0                     | sub esp,eax                             | esp: 19FE70-> 19FE64 eflags: 202-> 212            |                                   |
0A8 | 770E220A | 53                       | push ebx                                | esp: 19FE64-> 19FE60                              | 0019FE60: 19FE50-> 263000         |
0A9 | 770E220B | 56                       | push esi                                | esp: 19FE60-> 19FE5C                              | 0019FE5C: 263000-> C60760         | esi:&"E:\\新建文件夹11\\unicorn\\Emu\\Release\\Sample.vmp.exe"
0AA | 770E220C | 57                       | push edi                                | esp: 19FE5C-> 19FE58                              | 0019FE58: C60760-> C5FB48         | edi:&"ALLUSERSPROFILE=C:\\ProgramData"
0AB | 770E220D | A1 D0021977              | mov eax,dword ptr ds:[771902D0]         | eax: C-> 34E769AD                                 | 771902D0: 34E769AD-> 34E769AD     | eax:&"\n\n"
0AC | 770E2212 | 3145 FC                  | xor dword ptr ss:[ebp-4],eax            | eflags: 212-> 202                                 | 0019FE7C: 7717CA00-> 43F0A3AD     | [ebp-04]:&"444"
0AD | 770E2215 | 33C5                     | xor eax,ebp                             | eax: 34E769AD-> 34FE972D eflags: 202-> 206        |                                   |
0AE | 770E2217 | 50                       | push eax                                | esp: 19FE58-> 19FE54                              | 0019FE54: C5FB48-> 34FE972D       | eax:&"\n\n"
0AF | 770E2218 | 8965 E8                  | mov dword ptr ss:[ebp-18],esp           |                                                   | 0019FE68: 19FE54-> 19FE54         | [ebp-18]:&"\n\n"
0B0 | 770E221B | FF75 F8                  | push dword ptr ss:[ebp-8]               | esp: 19FE54-> 19FE50                              | 0019FE78: 770A46D8-> 770A46D8 001 |
0B1 | 770E221E | 8B45 FC                  | mov eax,dword ptr ss:[ebp-4]            | eax: 34FE972D-> 43F0A3AD                          | 0019FE7C: 43F0A3AD-> 43F0A3AD     | [ebp-04]:&"444"
0B2 | 770E2221 | C745 FC FEFFFFFF         | mov dword ptr ss:[ebp-4],FFFFFFFE       |                                                   | 0019FE7C: 43F0A3AD-> FFFFFFFE     | [ebp-04]:&"444"
0B3 | 770E2228 | 8945 F8                  | mov dword ptr ss:[ebp-8],eax            |                                                   | 0019FE78: 770A46D8-> 43F0A3AD     |
0B4 | 770E222B | 8D45 F0                  | lea eax,dword ptr ss:[ebp-10]           | eax: 43F0A3AD-> 19FE70                            |                                   |
0B5 | 770E222E | 64:A3 00000000           | mov dword ptr fs:[0],eax                |                                                   | 00266000: 19FF60-> 19FE70         | eax:&"\n\n"
0B6 | 770E2234 | F2:C3                    | bnd ret                                 | esp: 19FE50-> 19FE54                              | 0019FE50: 770A46D8-> 770A46D8     |
0B7 | 770A46D8 | 8365 E4 00               | and dword ptr ss:[ebp-1C],0             | eflags: 206-> 246                                 | 0019FE64: 19FE50-> 0              | [ebp-1C]:scanf+1E
0B8 | 770A46DC | 8B45 08                  | mov eax,dword ptr ss:[ebp+8]            | eax: 19FE70-> 19FEB4                              | 0019FE88: 19FEB4-> 19FEB4         | [ebp+08]:"%s"
0B9 | 770A46DF | 8B00                     | mov eax,dword ptr ds:[eax]              | eax: 19FEB4-> 77190328                            | 0019FEB4: 77190328-> 77190328     | eax:&"\n\n", [eax]:"\n\n"
0BA | 770A46E1 | 83C0 20                  | add eax,20                              | eax: 77190328-> 77190348 eflags: 246-> 206        |                                   | eax:&"\n\n"
0BB | 770A46E4 | 50                       | push eax                                | esp: 19FE54-> 19FE50                              | 0019FE50: 34FE972D-> 77190348     | eax:&"\n\n"
0BC | 770A46E5 | FF15 18221977            | call dword ptr ds:[<EnterCriticalSectio | esp: 19FE50-> 19FE4C                              | 77192218: 777E0040-> 777E0040 001 |
0BD | 777E0040 | 8BFF                     | mov edi,edi                             |                                                   |                                   |
0BE | 777E0042 | 55                       | push ebp                                | esp: 19FE4C-> 19FE48                              | 0019FE48: 770A46EB-> 19FE80       |
0BF | 777E0043 | 8BEC                     | mov ebp,esp                             | ebp: 19FE80-> 19FE48                              |                                   |
0C0 | 777E0045 | 83E4 F8                  | and esp,FFFFFFF8                        |                                                   |                                   |
